stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.1045998318,,-88.3093579182,CBLFLDCRL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cblfldcrl,,,Cobblefield and Crail,1,
40.116320835,,-88.2024175,UNIMPL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unimpl,,,University and Maple,1,
40.14212333,,-88.162845,APTHICRS:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/apthicrs,APTHICRS,,Airport & High Cross (SE Corner),0,
40.142168,,-88.163036,APTHICRS:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/apthicrs,APTHICRS,,Airport & High Cross (SW Corner),0,
40.08715,,-88.28158167,WNCHBRCH:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wnchbrch,WNCHBRCH,,Winchester & Branch (NW Corner),0,
40.08691333,,-88.281405,WNCHBRCH:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wnchbrch,WNCHBRCH,,Winchester & Branch (SE Corner),0,
40.09015167,,-88.32162333,MLKNDVRBRK:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mlkndvrbrk,MLKNDVRBRK,,Mullikin & Doverbrook (SE Corner),0,
40.106878075,,-88.2288484915,WRTCHAL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wrtchal,,,Wright and Chalmers,1,
40.087787,,-88.197007,MHRYLYNE:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mhrylyne,MHRYLYNE,,McHenry & Lynn - East (SW Corner),0,
40.122007,,-88.202726,KERGRLDNE:1,,KERGRLDNE,,Kerr & Geraldine (NE Corner),0,
40.127326,,-88.228448665,BRADCRVR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradcrvr,,,Bradley and Carver,1,
40.113111355,,-88.2953567833,SPFLDDNCN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spflddncn,,,Springfield and Duncan,1,
40.1017601675,,-88.18137025,MIKNCH,http://www.cumtd.com/maps-and-schedules/bus-stops/info/miknch,,,Michigan and Kinch,1,
40.135272,,-88.18794,HNKLBRTY:3,,HNKLBRTY,,Hancock & Liberty (SW Corner),0,
40.108943335,,-88.270113335,JOHNDRPR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johndrpr,,,John and Draper,1,
40.142105,,-88.170981,ARPRTDNLD,,,,Airport and Donald,1,
40.116223,,-88.196508,EASTPO:3,,EASTPO,,East Pull Out,0,
40.1041635,,-88.228653165,GRGLIB,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grglib,,,Gregory at Library,1,
40.10604333,,-88.17617,DDSNWASH:5,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ddsnwash,DDSNWASH,,Dodson & Washington (NE Far Side),0,
40.12198333,,-88.201455,KERCNHM:6,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kercnhm,KERCNHM,,Kerr & Cunningham (SE Far Side),0,
40.10167,,-88.28987833,WSFLDCRLTN:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wsfldcrltn,WSFLDCRLTN,,Westfield & Carrelton (NW Corner),0,
40.139914,,-88.181422,SKYLNNWPRT:3,,SKYLNNWPRT,,Skyline & Newport (SW Corner),0,
